dataset,model_id,target,mae,pearson_r,r2,bland_bias,loa_low,loa_high,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,f1,sens,spec,ppv,npv,adj_or,adj_or_ci_low,adj_or_ci_high,pval_logistic,fisher_pval,evaluation_version
echonext,f_1000002_s42,Signal_Lead_V5,0.3420759758334568,0.6235499449751373,0.2727729617418125,-0.0008783286478989,-1.3605939596840453,1.3588373023882472,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000002_s42,Signal_Lead_V6,0.3436228386544484,0.7454118609811434,0.2925456544732124,-0.0175387197824137,-1.391316171576036,1.3562387320112086,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000002_s42,Signal_Lead_aVF,0.3495117130461839,0.6156384856274861,0.240624566604427,0.0084178817780719,-1.313367525189969,1.330203288746113,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000002_s42,Signal_Lead_aVL,0.3831070054921327,0.5148262521988441,0.150056800584636,0.0285937497313499,-1.420663031086288,1.477850530548988,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000002_s42,Signal_Lead_aVR,0.4144574546086016,0.748366360006259,0.284599551954995,-0.041047329747187,-1.469522047035463,1.3874273875410887,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000003_s42,QRS_Overall,0.0,0.9999999999999998,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,3.3929088526310704e-66,legacy_v1
echonext,f_1000003_s42,Signal_Lead_I,0.0,0.9999999417641466,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000003_s42,Signal_Lead_II,0.0,0.999999948234797,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000003_s42,Signal_Lead_III,0.3349974136605143,0.4866816329720939,0.1417669360821318,0.0354107939908691,-1.3422276919192568,1.4130492799009953,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000003_s42,Signal_Lead_V1,0.3426862106598244,0.6677137941060324,0.2712563306117156,0.1236680821509893,-1.2372930680524787,1.4846292323544572,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000003_s42,Signal_Lead_V2,0.0,0.99999994674157,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000003_s42,Signal_Lead_V3,0.3456828455306543,0.7431060746183331,0.4184110067972126,-0.1387056502926934,-1.2741821087554617,0.9967708081700744,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000003_s42,Signal_Lead_V4,0.3115240433846361,0.7277552751199166,0.3969523193930678,0.0449261916931182,-1.1728985539044523,1.2627509372906889,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000003_s42,Signal_Lead_V5,0.3322038136671505,0.6777212395024581,0.3132561179678109,0.0133000577073276,-1.3163589269708222,1.3429590423854776,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000003_s42,Signal_Lead_V6,0.3323472008606835,0.7593027683697244,0.3121854590736163,-0.0276008077516528,-1.3822739394401176,1.327072323936812,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000003_s42,Signal_Lead_aVF,0.3372037041629033,0.6576915113359888,0.2743973821528097,0.009997247837424,-1.2853585724401144,1.3053530681149628,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000003_s42,Signal_Lead_aVL,0.4012632645464391,0.5402839899615779,0.1607974265973737,0.0605652570473216,-1.3861030381472386,1.5072335522418818,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000003_s42,Signal_Lead_aVR,0.4002290067723748,0.813791341473016,0.3224821994776237,-0.0422435152921287,-1.436327969729765,1.3518409391455075,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000004_s42,QRS_Overall,0.0,0.9999999999999998,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,3.3929088526310704e-66,legacy_v1
echonext,f_1000004_s42,Signal_Lead_I,0.0,0.9999999417641466,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000004_s42,Signal_Lead_II,0.0,0.999999948234797,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000004_s42,Signal_Lead_III,0.3347030045515187,0.4989125605604304,0.145306148935918,0.037158339245216,-1.338553194502444,1.4128698729928764,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000004_s42,Signal_Lead_V1,0.3421439319880123,0.6478564544572492,0.2590060107545738,0.1133278729595743,-1.255471931717224,1.4821276776363728,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000004_s42,Signal_Lead_V2,0.0,0.99999994674157,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000004_s42,Signal_Lead_V3,0.3381687367261078,0.7418320192313813,0.4186644896515125,-0.1298885638459215,-1.262154517228006,1.002377389536163,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000004_s42,Signal_Lead_V4,0.3070329685922953,0.7242046191655042,0.3980531296602546,0.0399352852538853,-1.168353036056384,1.2482236065641543,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000004_s42,Signal_Lead_V5,0.3340766991338924,0.6676352963896346,0.3067979865863241,0.0103591223351753,-1.3243740752857525,1.3450923199561031,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000004_s42,Signal_Lead_V6,0.3307926151551508,0.757658895991241,0.3233646167202802,-0.0259979792922925,-1.36824572591269,1.3162497673281046,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000004_s42,Signal_Lead_aVF,0.3373376056240844,0.65197541147941,0.2765348292204632,0.0120442029727776,-1.2799106933870492,1.3039990993326045,,,,,,,,,,,,,,,,,legacy_v1
