family,metric,effect,effect_type,protocol,bootstrap_unit,endpoint_representation,estimate,ci_low,ci_high,n
msvae,qrs_correlation,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.00018100026200541761,0.00011274921487963484,0.000246051498931369,2198
msvae,qrs_correlation,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-5.316944420984681e-05,-0.00011035369552572042,4.7229460540602337e-07,2198
msvae,qrs_correlation,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-1.722882040254976e-05,-0.00013144688529563282,9.428898445703891e-05,2198
msvae,st_correlation,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.009320961057674862,0.008440787605906951,0.010393670803227955,2198
msvae,st_correlation,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.00022943247773711615,0.00015829679217310897,0.0002937671124418871,2198
msvae,st_correlation,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.0003901586527695366,-0.00046332414437122866,-0.00032091252500102764,2198
msvae,st_correlation,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.0003662890085423542,-0.0005062709716931516,-0.0002461396736009698,2198
msvae,st_correlation,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.0005802008430717786,0.00045045557603553296,0.0007381782856962755,2198
msvae,st_correlation,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.00011965786559175949,-0.0002315872728129831,-9.007410548722768e-06,2198
msvae,st_correlation,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,1.5335278444410983e-05,-0.0002045862437487255,0.00022962602339452688,2198
msvae,j_point_amplitude_mae,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.0020007586288960776,-0.002142374699824621,-0.0018700464938348677,2198
msvae,j_point_amplitude_mae,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-2.5733651220883235e-05,-4.8089284449997925e-05,-1.1115084229001713e-05,2198
msvae,j_point_amplitude_mae,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,5.117682688187357e-05,3.3276835012007365e-05,7.048287298753422e-05,2198
msvae,j_point_amplitude_mae,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,1.1431992971749334e-05,-1.8741601700205478e-05,4.118897934935109e-05,2198
msvae,j_point_amplitude_mae,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-3.2471634936540154e-05,-6.5590223792474e-05,2.371101661025008e-06,2198
msvae,j_point_amplitude_mae,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,2.0358866878070812e-05,-1.2172742952730146e-05,5.418329829751965e-05,2198
msvae,j_point_amplitude_mae,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-1.7280832316058673e-06,-5.242040776885515e-05,5.416252427826555e-05,2198
msvae,ecgfounder_auroc,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,0.0004510583511351516,-0.0017964050202083136,0.002889602328431175,2198
msvae,ecgfounder_auroc,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,0.00010248346895022803,-9.987566373606718e-05,0.00028263201864159895,2198
msvae,ecgfounder_auroc,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,-0.00017021503151312822,-0.0004411112360981945,0.0001266537068349919,2198
msvae,ecgfounder_auroc,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,3.0005565144484157e-05,-0.00035427826164651324,0.0005211360537798956,2198
msvae,ecgfounder_auroc,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,-0.0002741537360457203,-0.0008579280829371236,0.0002550444027020917,2198
msvae,ecgfounder_auroc,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,-0.00037955611341172665,-0.0007331075688821404,4.268370329051394e-06,2198
msvae,ecgfounder_auroc,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,-0.0005232918752869861,-0.001252773738406302,0.00018784074330300564,2198
ecgaim,mse,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.0006964516535028371,-0.0008085172428521951,-0.000580561166446703,2198
ecgaim,mse,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-6.40765327036663e-05,-0.00011210445135346371,-3.287212749267348e-05,2198
ecgaim,mse,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,1.6551437718116657e-05,-1.872974430886897e-05,5.0026591463858195e-05,2198
ecgaim,mse,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,2.518838268161935e-05,-5.542387608927947e-05,0.00012353135747831742,2198
ecgaim,mse,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-4.2836328106572186e-05,-0.00010755772942675134,3.586654975895904e-05,2198
ecgaim,mse,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.0001430248739581311,-0.00020281126076201095,-8.026516309700032e-05,2198
ecgaim,mse,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.00020320485562113223,7.130718627388535e-05,0.0003230881961598134,2198
ecgaim,r2,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.014854808361529059,0.013578008554190089,0.016286914878401157,2198
ecgaim,r2,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.00027528950236199615,-0.00023102069610685916,0.0007471859039138846,2198
ecgaim,r2,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.001647020850968916,0.0010058289769406272,0.002391189849776788,2198
ecgaim,r2,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.001882672154001834,0.0006775455808187441,0.003052248607441965,2198
ecgaim,r2,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.00053617420414161,-0.0004962831054682841,0.0023674016271671735,2198
ecgaim,r2,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.002423210908119415,0.0014341954060879145,0.004295007261417693,2198
ecgaim,r2,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.002143920730486736,-0.0047101926437836394,0.004251247742160577,2198
ecgaim,pearson,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.008303862424385992,0.007802286056040794,0.008862018872298184,2198
ecgaim,pearson,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.00022715941288451697,6.637978636600284e-05,0.00038850676647528336,2198
ecgaim,pearson,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-1.9910032636366505e-06,-0.00019343414210166773,0.0001740207183894734,2198
ecgaim,pearson,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.00023175552961932625,-0.0005312643671432581,6.76075444552831e-05,2198
ecgaim,pearson,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,9.360516933661574e-05,-0.00021644184090803366,0.00042242224734749767,2198
ecgaim,pearson,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.0010468506468654872,0.0007052982213640791,0.0013876565373924267,2198
ecgaim,pearson,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.002253462866396119,-0.0029246620146202566,-0.0016861004272111502,2198
ecgaim,qrs_correlation,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.007592175296180456,0.006968375046736534,0.008232058669274232,2198
ecgaim,qrs_correlation,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.000308580524024093,0.00010571346613745602,0.0005332568533622284,2198
ecgaim,qrs_correlation,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.0001233725214591811,-0.0003695098359448399,0.00011873532837683181,2198
ecgaim,qrs_correlation,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.0003099305917038626,-0.0007000436659658933,7.0625156224045e-05,2198
ecgaim,qrs_correlation,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.00023395870295475795,-0.00021971933044406266,0.0006563252861144904,2198
ecgaim,qrs_correlation,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.0014872877872052195,0.001082148979481535,0.0019010920374802334,2198
ecgaim,qrs_correlation,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.003610653083074934,-0.0045384382864331165,-0.0027972734567092254,2198
ecgaim,st_correlation,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.013563314563147693,0.012458050975067633,0.014645662847374532,2198
ecgaim,st_correlation,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.0008270891229256431,0.0005611379566715151,0.0011455416047706094,2198
ecgaim,st_correlation,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.000192947609683469,-0.0005177400611915795,0.00012563468508760983,2198
ecgaim,st_correlation,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.00021668392342371609,-0.0008327247702865396,0.00038026070482399306,2198
ecgaim,st_correlation,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.00046662411711628066,-0.00010986867169456653,0.0010780086423157439,2198
ecgaim,st_correlation,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.0010393784676810023,0.00044284488900705365,0.0016161219729734625,2198
ecgaim,st_correlation,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.0013305361929742553,-0.0025087685769492273,-0.000295728253232924,2198
ecgaim,j_point_amplitude_mae,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.0021333984240001443,-0.0022848285767914007,-0.001992825227309349,2198
ecgaim,j_point_amplitude_mae,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,7.725326677833475e-05,2.91332446082661e-05,0.00012627758769928856,2198
ecgaim,j_point_amplitude_mae,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,4.913536244893177e-05,-6.881673577002374e-06,0.0001077893291648588,2198
ecgaim,j_point_amplitude_mae,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-3.713629021223726e-05,-0.0001414870482954473,6.228209333465051e-05,2198
ecgaim,j_point_amplitude_mae,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-3.506895112343221e-05,-0.00013615490031452767,6.530623735856484e-05,2198
ecgaim,j_point_amplitude_mae,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.00014649808565298734,-0.00025780274363716076,-3.2841035574919224e-05,2198
ecgaim,j_point_amplitude_mae,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.00014092239404641247,-0.00035135648805729883,3.4460431520129605e-05,2198
ecgaim,ecgfounder_auroc,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,-0.0007164681526911625,-0.002461972301752658,0.0010844083024482388,2198
ecgaim,ecgfounder_auroc,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,0.0008280112063886419,5.5356781177763294e-05,0.0016275896476405272,2198
ecgaim,ecgfounder_auroc,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,0.00020078689797081584,-0.0007031757091529975,0.00117000416832391,2198
ecgaim,ecgfounder_auroc,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,0.0010063347033627554,-0.0006337706607626221,0.0028853317988717293,2198
ecgaim,ecgfounder_auroc,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,-7.985515632235788e-05,-0.001756336313903568,0.0017110301087058294,2198
ecgaim,ecgfounder_auroc,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,0.001490871600172803,6.233213949487191e-05,0.003133985997951008,2198
ecgaim,ecgfounder_auroc,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,macro_auroc_record_influence,0.00018805310423131505,-0.003977733677503548,0.003684751829212022,2198
