id,family,mask,mse,r2,pearson,qrs_correlation,st_correlation,ecgfounder_auroc,morphology_coverage
msvae__e0c0m1d1__s42,msvae,0011,0.0239858361091957,0.6032141137232784,0.8158857602704801,0.841190772879157,0.6542036976340784,0.8567322102766987,1.0
msvae__e0c1m0d0__s42,msvae,0100,0.02432024266867097,0.5714754620669598,0.8690247135448715,0.8905084953623221,0.7272754840912968,0.8601777990414682,1.0
msvae__e0c1m0d1__s42,msvae,0101,0.02428782275732795,0.6218176070201893,0.8716475313129952,0.8933601043306767,0.7298928327888002,0.863491367843677,1.0
msvae__e0c1m1d0__s42,msvae,0110,0.024408303484821717,0.5604227275400525,0.867821993016459,0.8886740293702606,0.7269709228797662,0.8603060146251523,1.0
msvae__e0c1m1d1__s42,msvae,0111,0.024204293343117165,0.5636605594923735,0.8659949005463647,0.8852083907885042,0.7321468484079365,0.8600507032711293,1.0
msvae__e1c0m0d0__s42,msvae,1000,0.018343281349901028,0.8002009851760659,0.9122897969400086,0.9313920251954738,0.8050830173425036,0.8795495820097171,1.0
msvae__e1c0m0d1__s42,msvae,1001,0.01838107116571657,0.7998366282919327,0.9120988782912194,0.9313133370819702,0.8045428305222946,0.879575398934111,1.0
msvae__e1c0m1d0__s42,msvae,1010,0.01831209769303921,0.801129676263767,0.9125550709218133,0.9316483442891759,0.8056205612915442,0.8796960177839792,1.0
msvae__e1c0m1d1__s42,msvae,1011,0.018348388977159732,0.8006336470155742,0.9123209699703629,0.9314946361888484,0.8047273004234791,0.8796039245326048,1.0
msvae__e1c1m0d0__s42,msvae,1100,0.017921197518274548,0.8155215841407012,0.9219244689023502,0.9401939974628493,0.8216660080796859,0.8799918914774811,1.0
msvae__e1c1m0d1__s42,msvae,1101,0.017917268262667815,0.8157762851106205,0.9219354891268432,0.9402160829433658,0.8216498901054522,0.8800052006034728,1.0
msvae__e1c1m1d0__s42,msvae,1110,0.017913346340832005,0.8158957394987373,0.9219525282092023,0.9401996339522389,0.8218681516664487,0.8804299787545312,1.0
msvae__e1c1m1d1__s42,msvae,1111,0.017925185949989694,0.8165041925017434,0.9218998599879217,0.9401631312340683,0.8216308951064277,0.8798020858294676,1.0
ecgaim__e0c0m0d0__s42,ecgaim,0000,0.0187020103413612,0.8094915784914252,0.9166221709044586,0.9349807760326386,0.8111668171437272,0.8789741772860119,1.0
ecgaim__e0c0m0d1__s42,ecgaim,0001,0.01901539650407687,0.803260866979318,0.9150881659886966,0.9334912322687371,0.8097770362399903,0.8784009291104762,1.0
ecgaim__e0c0m1d0__s42,ecgaim,0010,0.018770959814099084,0.8061430961716199,0.9160799913996454,0.9344608825386995,0.8112659637452942,0.8815936464546857,1.0
ecgaim__e0c0m1d1__s42,ecgaim,0011,0.01878674054559086,0.8057547991581434,0.9162110677684792,0.9347002654209023,0.8113731338677331,0.8801196172534518,1.0
ecgaim__e0c1m0d0__s42,ecgaim,0100,0.01802669377570098,0.8223177082810262,0.9246812481427504,0.9420464702752624,0.8324443450376072,0.8793350100848416,1.0
ecgaim__e0c1m0d1__s42,ecgaim,0101,0.018033966966281727,0.8224257572019514,0.9249245538567885,0.942236962237547,0.8330195310968919,0.8801113274938214,1.0
ecgaim__e0c1m1d0__s42,ecgaim,0110,0.017973976748244795,0.8237191581404278,0.9251135087401329,0.9424796886838741,0.8324480987231911,0.8802885863685326,1.0
ecgaim__e0c1m1d1__s42,ecgaim,0111,0.0180010963151676,0.8215680709684019,0.9249247090542428,0.9423749228225131,0.8323663732855455,0.8787470171777366,1.0
ecgaim__e1c0m0d0__s42,ecgaim,1000,0.018692084018647904,0.8075978690989036,0.9168895449993669,0.9355578602653333,0.8115540712977178,0.8799433144273224,1.0
ecgaim__e1c0m0d1__s42,ecgaim,1001,0.018852367072173023,0.8072292165855778,0.9157539574155769,0.9342157385810699,0.8113043725461855,0.8794856063794259,1.0
ecgaim__e1c0m1d0__s42,ecgaim,1010,0.018737727106607618,0.8051842371188839,0.9161457881299806,0.9345667246306346,0.8116757939574017,0.8795697357580011,1.0
ecgaim__e1c0m1d1__s42,ecgaim,1011,0.01865338310301123,0.8083107566799749,0.9171837878870827,0.9356040527964437,0.8124381939633899,0.8805088727581617,1.0
ecgaim__e1c1m0d0__s42,ecgaim,1100,0.018055258002919683,0.820707273762287,0.9246991143020771,0.9420278154177587,0.8325106216491396,0.8788106197771689,1.0
ecgaim__e1c1m0d1__s42,ecgaim,1101,0.01807110228585777,0.8219467579667626,0.9247838668883023,0.9422126346284784,0.8319511074103599,0.8781790300208343,1.0
ecgaim__e1c1m1d0__s42,ecgaim,1110,0.018024486352141465,0.8212482766583962,0.9248503383907024,0.9422816127818444,0.8325160563209036,0.8793493492590947,1.0
ecgaim__e1c1m1d1__s42,ecgaim,1111,0.017998908507748504,0.823839008603247,0.9248552084595837,0.9422511169389703,0.8327761884847876,0.8803026576550486,1.0
