family,metric,effect,effect_type,protocol,bootstrap_unit,endpoint_representation,estimate,ci_low,ci_high,n
unet,qrs_correlation,correlation:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.05997908795735822,-0.06205121651211574,-0.057997467645638394,2198
unet,qrs_correlation,mmd:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.0011694691220619504,0.001078369200744188,0.0012595457850647156,2198
unet,qrs_correlation,mse:correlation:mmd,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.00014141670747641727,-5.725174130950824e-05,0.00034511395302147345,2198
unet,qrs_correlation,mse:correlation:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.11736809392761054,0.11351211993240518,0.12138283975271591,2198
unet,qrs_correlation,mse:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.002324298082376178,0.0021430208696025287,0.002504506080999109,2198
unet,qrs_correlation,correlation:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.00263286342358226,-0.0028726419961247873,-0.0024010602934698574,2198
unet,qrs_correlation,mse:correlation:mmd:derivative,four_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.0052364563150216785,-0.0057154222251555465,-0.004773369637315335,2198
unet,st_correlation,mse,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.5072955837195162,0.5008116688209436,0.5131665986673868,2198
unet,st_correlation,correlation,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.29066425355646086,0.2871165520981498,0.2944039070928864,2198
unet,st_correlation,mmd,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.0002565575610452396,-0.0003425308181574483,-0.00016217785540336216,2198
unet,st_correlation,derivative,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.02417831987535418,-0.02539764416753324,-0.022884364592098298,2198
unet,st_correlation,mse:correlation,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.541483151351441,-0.5487000144704727,-0.5343260443036076,2198
unet,st_correlation,mse:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.0005089300083203624,-0.0006809281206410844,-0.0003198273338199302,2198
unet,st_correlation,mse:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.049164896456500976,0.046683525617383176,0.051571676021320484,2198
unet,st_correlation,correlation:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.00021144984170616907,2.9282072115920384e-05,0.0003974921266569634,2198
unet,st_correlation,correlation:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.052513563407145046,0.05001970019500897,0.05501717493944534,2198
unet,st_correlation,mmd:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.00026274373470849143,-0.0004350411133574918,-8.414847549916097e-05,2198
unet,st_correlation,mse:correlation:mmd,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.00041452512554103076,4.895499219911461e-05,0.0007862269951664593,2198
unet,st_correlation,mse:correlation:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.1047687423958446,-0.10976625218589682,-0.09970460141953752,2198
unet,st_correlation,mse:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.0005374466277926899,-0.0008815345273156982,-0.00018033241406897923,2198
unet,st_correlation,correlation:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.00011053872462784201,-0.0002619535401822393,0.0004660688783259733,2198
unet,st_correlation,mse:correlation:mmd:derivative,four_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.00024501174164191986,-0.0005035336076564097,0.0009539450068774576,2198
unet,j_point_amplitude_mae,mse,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.16640023218945146,-0.16784713021700698,-0.1651718876267408,2198
unet,j_point_amplitude_mae,correlation,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.04971072793101597,-0.05099268626705085,-0.048550023220656824,2198
unet,j_point_amplitude_mae,mmd,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,3.948204713603236e-05,2.0442068919469827e-05,5.775222713937036e-05,2198
unet,j_point_amplitude_mae,derivative,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.007612268374484961,-0.00813347777944382,-0.007087684687855677,2198
unet,j_point_amplitude_mae,mse:correlation,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.09815712135763512,0.09596792017763187,0.10064276774840024,2198
unet,j_point_amplitude_mae,mse:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,9.132250416786618e-05,5.305503048918158e-05,0.0001277850265754088,2198
unet,j_point_amplitude_mae,mse:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.013927209901698002,0.012849968886139568,0.015030347385548388,2198
unet,j_point_amplitude_mae,correlation:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,7.409695228705821e-05,3.652477083780723e-05,0.00010920619643882118,2198
