id,family,mask,reconstructed_macro_auroc,reference_macro_auroc,difference,ci_low,ci_high,margin,noninferior,n_records,n_resamples,method
msvae__e0c1m1d1__s42,msvae,0111,0.8600507032711293,0.8840532586792879,-0.024002555408158543,-0.03184132327966111,-0.017809608072839246,0.02,False,2198,2000,paired_record_influence_function_BCa
msvae__e1c0m0d0__s42,msvae,1000,0.8795495820097171,0.8840532586792879,-0.004503676669570744,-0.009824307962478929,0.0010387293839989689,0.02,True,2198,2000,paired_record_influence_function_BCa
msvae__e1c0m0d1__s42,msvae,1001,0.879575398934111,0.8840532586792879,-0.004477859745176893,-0.009778736276372992,0.0010256643196198732,0.02,True,2198,2000,paired_record_influence_function_BCa
msvae__e1c0m1d0__s42,msvae,1010,0.8796960177839792,0.8840532586792879,-0.004357240895308645,-0.009538639250313587,0.001005690607332434,0.02,True,2198,2000,paired_record_influence_function_BCa
msvae__e1c0m1d1__s42,msvae,1011,0.8796039245326048,0.8840532586792879,-0.004449334146683026,-0.009809042913873947,0.0008128407559005222,0.02,True,2198,2000,paired_record_influence_function_BCa
msvae__e1c1m0d0__s42,msvae,1100,0.8799918914774811,0.8840532586792879,-0.00406136720180672,-0.009002014656902877,0.0007349652078021318,0.02,True,2198,2000,paired_record_influence_function_BCa
msvae__e1c1m0d1__s42,msvae,1101,0.8800052006034728,0.8840532586792879,-0.0040480580758150975,-0.008986703981756423,0.0007828107485377938,0.02,True,2198,2000,paired_record_influence_function_BCa
msvae__e1c1m1d0__s42,msvae,1110,0.8804299787545312,0.8840532586792879,-0.0036232799247566394,-0.00863492995910876,0.0011325529046926483,0.02,True,2198,2000,paired_record_influence_function_BCa
msvae__e1c1m1d1__s42,msvae,1111,0.8798020858294676,0.8840532586792879,-0.0042511728498202395,-0.00920374782588771,0.000609705556317097,0.02,True,2198,2000,paired_record_influence_function_BCa
unet__e0c0m0d0__s42,unet,0000,0.7049855726217665,0.8840532586792879,-0.17906768605752132,-0.19463005134906314,-0.16421796034574213,0.02,False,2198,2000,paired_record_influence_function_BCa
unet__e0c0m0d1__s42,unet,0001,0.7061499202507546,0.8840532586792879,-0.17790333842853323,-0.19236238355350166,-0.163009335353351,0.02,False,2198,2000,paired_record_influence_function_BCa
unet__e0c0m1d0__s42,unet,0010,0.7049955698735518,0.8840532586792879,-0.17905768880573603,-0.19461402729877583,-0.1642265436679677,0.02,False,2198,2000,paired_record_influence_function_BCa
unet__e0c0m1d1__s42,unet,0011,0.7061654647978887,0.8840532586792879,-0.1778877938813992,-0.19232943162498695,-0.16299771889417175,0.02,False,2198,2000,paired_record_influence_function_BCa
unet__e0c1m0d0__s42,unet,0100,0.8572262139618917,0.8840532586792879,-0.026827044717396165,-0.03587419666286005,-0.018911026941998952,0.02,False,2198,2000,paired_record_influence_function_BCa
unet__e0c1m0d1__s42,unet,0101,0.8517347330317283,0.8840532586792879,-0.03231852564755955,-0.042579725807876105,-0.024002634518403145,0.02,False,2198,2000,paired_record_influence_function_BCa
unet__e0c1m1d0__s42,unet,0110,0.857227304301286,0.8840532586792879,-0.026825954378001837,-0.035870656317692075,-0.018908196500124534,0.02,False,2198,2000,paired_record_influence_function_BCa
unet__e0c1m1d1__s42,unet,0111,0.8517331608016063,0.8840532586792879,-0.03232009787768153,-0.04258007139031044,-0.02400155139010547,0.02,False,2198,2000,paired_record_influence_function_BCa
unet__e1c0m0d0__s42,unet,1000,0.8648598807758251,0.8840532586792879,-0.01919337790346276,-0.02504331606960854,-0.013673223790285738,0.02,False,2198,2000,paired_record_influence_function_BCa
unet__e1c0m0d1__s42,unet,1001,0.862371805295083,0.8840532586792879,-0.021681453384204907,-0.027961385982038744,-0.016417139692315223,0.02,False,2198,2000,paired_record_influence_function_BCa
unet__e1c0m1d0__s42,unet,1010,0.8631560426696329,0.8840532586792879,-0.020897216009654995,-0.027084476561885142,-0.015231447532856511,0.02,False,2198,2000,paired_record_influence_function_BCa
unet__e1c0m1d1__s42,unet,1011,0.8636350711851318,0.8840532586792879,-0.020418187494156026,-0.026229283486094383,-0.015145603196323765,0.02,False,2198,2000,paired_record_influence_function_BCa
unet__e1c1m0d0__s42,unet,1100,0.8674222458447751,0.8840532586792879,-0.016631012834512737,-0.021785028282767117,-0.011541802235459062,0.02,False,2198,2000,paired_record_influence_function_BCa
unet__e1c1m0d1__s42,unet,1101,0.8687399479169652,0.8840532586792879,-0.015313310762322674,-0.020362702642070702,-0.009994139044362858,0.02,False,2198,2000,paired_record_influence_function_BCa
unet__e1c1m1d0__s42,unet,1110,0.8677698424883287,0.8840532586792879,-0.016283416190959188,-0.02147131002279485,-0.011192010013884191,0.02,False,2198,2000,paired_record_influence_function_BCa
unet__e1c1m1d1__s42,unet,1111,0.8695632750450654,0.8840532586792879,-0.014489983634222492,-0.019379374934021084,-0.009345866347502094,0.02,True,2198,2000,paired_record_influence_function_BCa
