dataset,record_id,block_mode,gamma,m_star,G_star,n_null_pairs,null_rejections,type1_error,n_alt_pairs,alt_rejections,power,graph_density,n_clique_groups,n_cc_groups,overlap_fraction,edge_jaccard_30db,elapsed_sec
Zhejiang,1009731,temporal_contiguous,1.0,16,4,1,1,1.0,2,2,1.0,0.0,4,4,0.0,0.0,24.127412796020508
Zhejiang,1003838,unblocked,1.0,16,8,3,1,0.3333333333333333,9,9,1.0,0.07142857142857142,7,6,0.125,0.16666666666666666,34.75520157814026
Zhejiang,1009731,unblocked,1.0,16,4,1,1,1.0,2,2,1.0,0.0,4,4,0.0,0.0,29.49505639076233
ISP,10,temporal_contiguous,1.0,64,4,3,0,0.0,0,0,,0.5,2,2,0.0,1.0,193.91972827911377
ISP,10,attribute_kmeans,1.0,64,4,3,0,0.0,0,0,,0.5,2,2,0.0,0.75,199.37242794036865
Zhejiang,1010096,temporal_contiguous,1.0,16,8,11,9,0.8181818181818182,0,0,,0.07142857142857142,7,6,0.125,0.0,48.755454778671265
ISP,10,unblocked,1.0,64,4,3,0,0.0,0,0,,0.5,2,2,0.0,0.75,190.68285536766052
Zhejiang,1010096,attribute_kmeans,1.0,16,8,11,9,0.8181818181818182,0,0,,0.07142857142857142,7,6,0.125,0.0,54.51062512397766
Zhejiang,1010240,attribute_kmeans,1.0,16,6,4,1,0.25,4,4,1.0,0.26666666666666666,3,2,0.3333333333333333,0.125,39.72731256484985
Zhejiang,1010240,temporal_contiguous,1.0,16,6,4,2,0.5,4,4,1.0,0.2,3,3,0.0,0.2,39.26705598831177
Zhejiang,1010096,unblocked,1.0,16,8,11,9,0.8181818181818182,0,0,,0.07142857142857142,7,6,0.125,0.0,60.36962532997131
Zhejiang,1012874,temporal_contiguous,1.0,16,6,2,1,0.5,0,0,,0.13333333333333333,5,4,0.16666666666666666,0.0,32.01265215873718
Zhejiang,1011746,temporal_contiguous,1.0,16,6,3,2,0.6666666666666666,4,4,1.0,0.06666666666666667,5,5,0.0,0.0,33.56550073623657
Zhejiang,1011746,attribute_kmeans,1.0,16,6,3,2,0.6666666666666666,4,4,1.0,0.06666666666666667,5,5,0.0,0.25,37.23102045059204
Zhejiang,1010240,unblocked,1.0,16,6,4,1,0.25,4,4,1.0,0.26666666666666666,3,2,0.3333333333333333,0.125,45.21784329414368
Zhejiang,1012874,attribute_kmeans,1.0,16,6,2,0,0.0,0,0,,0.2,4,4,0.0,0.3333333333333333,36.268699169158936
Zhejiang,1011746,unblocked,1.0,16,6,3,2,0.6666666666666666,4,4,1.0,0.06666666666666667,5,5,0.0,0.25,38.901175022125244
Zhejiang,1014397,attribute_kmeans,1.0,16,8,4,0,0.0,9,9,1.0,0.21428571428571427,5,5,0.0,0.2222222222222222,27.379239320755005
Zhejiang,1012874,unblocked,1.0,16,6,2,0,0.0,0,0,,0.2,4,4,0.0,0.3333333333333333,36.45418405532837
Zhejiang,1014397,temporal_contiguous,1.0,16,8,4,0,0.0,9,9,1.0,0.17857142857142858,6,5,0.25,0.25,19.782835721969604
Zhejiang,1014397,unblocked,1.0,16,8,4,0,0.0,9,9,1.0,0.21428571428571427,5,5,0.0,0.2222222222222222,21.934318780899048
