family,metric,effect,effect_type,protocol,bootstrap_unit,endpoint_representation,estimate,ci_low,ci_high,n,n_patients,n_resamples,method,acceleration,bias_correction
unet,pearson,mse:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.17138959894113215,0.16952198984541605,0.17321027972885872,2198,1904,2000,paired_patient_cluster_BCa,-0.004247977810097346,0.0012533144654324165
unet,pearson,correlation:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.15910078830161622,0.15698844936734951,0.16103535472921457,2198,1904,2000,paired_patient_cluster_BCa,-0.004084106005171093,-0.02883021851774051
unet,pearson,mse:correlation:mmd:derivative,four_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.3187602738802634,-0.32254912602641644,-0.31467470717427437,2198,1904,2000,paired_patient_cluster_BCa,0.0044356432992860555,0.026322636310952642
unet,qrs_correlation,mse,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.269545940785926,0.26753220358381846,0.271845632637174,2198,1904,2000,paired_patient_cluster_BCa,0.0060980861537581425,0.03635411612673946
unet,qrs_correlation,correlation,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.2002527567941824,0.1982765562951072,0.20259472005123172,2198,1904,2000,paired_patient_cluster_BCa,0.0008241423004424251,0.06647457391662934
unet,qrs_correlation,mmd,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.1609472141105493,0.1597152238636992,0.16218276474903698,2198,1904,2000,paired_patient_cluster_BCa,-0.003953759390065165,-0.006266611701750474
unet,qrs_correlation,derivative,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.037756964805318226,0.03692881958462154,0.038571628731112084,2198,1904,2000,paired_patient_cluster_BCa,-0.003892269487310399,-0.0025066308995717666
unet,qrs_correlation,mse:correlation,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.3763359621080429,-0.3802774540906203,-0.3727678192571373,2198,1904,2000,paired_patient_cluster_BCa,0.00010188720486367185,-0.060195411728956635
unet,qrs_correlation,mse:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.3224260982082977,-0.3249654539299274,-0.3199254751695881,2198,1904,2000,paired_patient_cluster_BCa,0.003888800618838397,-0.011280066443693096
unet,qrs_correlation,mse:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.07657434905546448,-0.07814497837344775,-0.07492580924942063,2198,1904,2000,paired_patient_cluster_BCa,0.004314554309969635,0.015040336678635672
unet,qrs_correlation,correlation:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.2952323988166199,-0.2978813638429721,-0.29260602543165726,2198,1904,2000,paired_patient_cluster_BCa,0.004436469604306055,-0.015040336678635672
unet,qrs_correlation,correlation:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.0718512131850149,-0.07345289518534767,-0.07021686123729132,2198,1904,2000,paired_patient_cluster_BCa,0.002816014896609129,0.016293804724859116
unet,qrs_correlation,mmd:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.09118157647293083,-0.09243607118662724,-0.08986767739818789,2198,1904,2000,paired_patient_cluster_BCa,0.002461608641279365,0.006266611701750335
unet,qrs_correlation,mse:correlation:mmd,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.592750636242158,0.5874360867783689,0.5984197686406549,2198,1904,2000,paired_patient_cluster_BCa,-0.004733193026702252,0.033845942621651186
unet,qrs_correlation,mse:correlation:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.1463915421117307,0.14298612617863296,0.14974700753524187,2198,1904,2000,paired_patient_cluster_BCa,-0.004345034199342637,-0.010026681100274765
unet,qrs_correlation,mse:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.18174173129863086,0.1790759364564763,0.1842693914382519,2198,1904,2000,paired_patient_cluster_BCa,-0.0033387727583542213,-0.018800819591187675
unet,qrs_correlation,correlation:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.17096685252809357,0.16805264627188354,0.1738288817633857,2198,1904,2000,paired_patient_cluster_BCa,-0.002770045253557326,-0.006266611701750474
unet,qrs_correlation,mse:correlation:mmd:derivative,four_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.34186606979143924,-0.3474993437344165,-0.33629152881990115,2198,1904,2000,paired_patient_cluster_BCa,0.0027362924138911032,0.010026681100274765
unet,st_correlation,mse,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.29944546022452817,0.295478329563553,0.3031418989340367,2198,1904,2000,paired_patient_cluster_BCa,-0.001919701662355218,-0.01378689226308428
unet,st_correlation,correlation,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.16940134400086915,0.16655426315253088,0.17252178318871508,2198,1904,2000,paired_patient_cluster_BCa,0.0009098795744627941,0.02256156839022472
unet,st_correlation,mmd,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.17581478337682244,0.17331672596680825,0.1781993984102475,2198,1904,2000,paired_patient_cluster_BCa,-0.001910703336821181,-0.012533469508069276
unet,st_correlation,derivative,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.0003025385263491472,-0.0005145250571558247,0.001126452007398553,2198,1904,2000,paired_patient_cluster_BCa,0.001557375803993117,-0.0012533144654325557
unet,st_correlation,mse:correlation,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.30160581942978204,-0.30705839303910354,-0.2968264885956272,2198,1904,2000,paired_patient_cluster_BCa,-0.002106748355432886,-0.043880072299401184
unet,st_correlation,mse:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.34871488857899485,-0.35356894967340996,-0.3438503824466211,2198,1904,2000,paired_patient_cluster_BCa,0.0021453149276031754,0.0012533144654324165
unet,st_correlation,mse:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.00014564625689859252,-0.0014503256326322967,0.0017478421969757947,2198,1904,2000,paired_patient_cluster_BCa,-0.00134433884631711,-0.0037599512711459344
unet,st_correlation,correlation:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.19015192978713283,-0.1937555324696959,-0.18663621638165018,2198,1904,2000,paired_patient_cluster_BCa,0.0028023303710795412,-0.007519955698540524
unet,st_correlation,correlation:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.010971121026761612,0.009200958192538126,0.012830635610205175,2198,1904,2000,paired_patient_cluster_BCa,-0.001789213269047465,0.016293804724859116
unet,st_correlation,mmd:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.021743264913766023,-0.023446882159679893,-0.019924369276955036,2198,1904,2000,paired_patient_cluster_BCa,-0.002859490941791984,0.005013277548926657
unet,st_correlation,mse:correlation:mmd,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.3758421013786099,0.36901192221471124,0.3830068568215476,2198,1904,2000,paired_patient_cluster_BCa,-0.0029034601105281774,0.02381521960940934
unet,st_correlation,mse:correlation:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.01988346148127588,-0.023582295053622564,-0.01636474870140154,2198,1904,2000,paired_patient_cluster_BCa,0.0012363679704702538,-0.010026681100274765
unet,st_correlation,mse:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.042292429543020794,0.038843926888767706,0.04569161185962759,2198,1904,2000,paired_patient_cluster_BCa,0.0029809062807667226,-0.008773311508328191
unet,st_correlation,correlation:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.015543505003223395,0.011519454388605799,0.01966802052942209,2198,1904,2000,paired_patient_cluster_BCa,0.0028767873306442355,0.005013277548926657
unet,st_correlation,mse:correlation:mmd:derivative,four_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.027071244717668284,-0.03523440934126002,-0.019247275676841376,2198,1904,2000,paired_patient_cluster_BCa,-0.00276091170202588,-0.008773311508328191
unet,j_point_amplitude_mae,mse,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.09653427883147095,-0.09755813107637766,-0.09565457179659348,2198,1904,2000,paired_patient_cluster_BCa,-0.02154108709771898,0.010026681100274765
unet,j_point_amplitude_mae,correlation,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.039872507976043504,-0.04069937589960943,-0.03912080213195672,2198,1904,2000,paired_patient_cluster_BCa,-0.013150035410998486,-0.016293804724859254
unet,j_point_amplitude_mae,mmd,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,-0.07692308636387307,-0.07748036662883065,-0.07642829617740059,2198,1904,2000,paired_patient_cluster_BCa,-0.0012338010509696873,-0.018800819591187675
unet,j_point_amplitude_mae,derivative,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.004446397772041049,0.003916529629824181,0.004929165823650921,2198,1904,2000,paired_patient_cluster_BCa,-0.009131413260455199,-0.010026681100274765
unet,j_point_amplitude_mae,mse:correlation,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.07981022517048535,0.07843917991882096,0.08130159255812741,2198,1904,2000,paired_patient_cluster_BCa,0.016489811706501222,0.018800819591187533
unet,j_point_amplitude_mae,mse:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_patient_cluster,record_metric,0.1524802133027003,0.15151845082687274,0.1535640147889766,2198,1904,2000,paired_patient_cluster_BCa,0.0011112730247922042,0.032591936696663076
