model_id,mean_mae,mean_pearson,mean_r2,mean_auroc,mean_auprc,n_targets,mask,mse_on,corr_on,deriv_on,vcg_on,energy_on,lead_on,mmd_name
f_1100013_s42,0.5807,0.236,0.0557,0.4419,0.0073,1,1100013,1,1,0,0,0,1,anatomical_imq
f_1100014_s42,0.6096,0.2565,0.0658,0.4435,0.0093,1,1100014,1,1,0,0,0,1,temporal_kmeans_imq
f_1100100_s42,0.465,0.3572,0.1276,0.5265,0.0048,1,1100100,1,1,0,0,1,0,none
f_1100101_s42,0.4686,0.3691,0.1362,0.5726,0.0056,1,1100101,1,1,0,0,1,0,global_rbf
f_1100102_s42,0.4639,0.3575,0.1278,0.5282,0.0049,1,1100102,1,1,0,0,1,0,anatomical_laplacian
f_1100103_s42,0.4646,0.3571,0.1275,0.5263,0.0048,1,1100103,1,1,0,0,1,0,anatomical_imq
f_1100104_s42,0.4658,0.3576,0.1279,0.5275,0.0049,1,1100104,1,1,0,0,1,0,temporal_kmeans_imq
f_1100110_s42,0.4619,0.3096,0.0959,0.5541,0.0045,1,1100110,1,1,0,0,1,1,none
f_1100111_s42,0.4702,0.3167,0.1003,0.5944,0.0052,1,1100111,1,1,0,0,1,1,global_rbf
f_1100112_s42,0.4643,0.3099,0.096,0.5577,0.0045,1,1100112,1,1,0,0,1,1,anatomical_laplacian
f_1100113_s42,0.4612,0.3093,0.0957,0.5515,0.0045,1,1100113,1,1,0,0,1,1,anatomical_imq
f_1100114_s42,0.4634,0.3098,0.096,0.5544,0.0045,1,1100114,1,1,0,0,1,1,temporal_kmeans_imq
f_1101000_s42,0.3762,0.4393,0.193,0.6784,0.0227,1,1101000,1,1,0,1,0,0,none
f_1101001_s42,0.3934,0.4376,0.1915,0.6835,0.0163,1,1101001,1,1,0,1,0,0,global_rbf
f_1101002_s42,0.3719,0.4519,0.2042,0.7593,0.0222,1,1101002,1,1,0,1,0,0,anatomical_laplacian
f_1101003_s42,0.3799,0.4292,0.1842,0.6648,0.0215,1,1101003,1,1,0,1,0,0,anatomical_imq
f_1101004_s42,0.3811,0.4268,0.1822,0.6474,0.0175,1,1101004,1,1,0,1,0,0,temporal_kmeans_imq
f_1101010_s42,0.4464,0.2925,0.0855,0.5196,0.0151,1,1101010,1,1,0,1,0,1,none
f_1101011_s42,0.468,0.338,0.1142,0.5933,0.0111,1,1101011,1,1,0,1,0,1,global_rbf
f_1101012_s42,0.4516,0.3062,0.0938,0.5574,0.0087,1,1101012,1,1,0,1,0,1,anatomical_laplacian
f_1101013_s42,0.4588,0.2798,0.0783,0.5201,0.0112,1,1101013,1,1,0,1,0,1,anatomical_imq
f_1101014_s42,0.4673,0.2755,0.0759,0.5203,0.0162,1,1101014,1,1,0,1,0,1,temporal_kmeans_imq
f_1101100_s42,0.4199,0.2998,0.0899,0.4857,0.0035,1,1101100,1,1,0,1,1,0,none
f_1101101_s42,0.4305,0.3039,0.0923,0.4993,0.0035,1,1101101,1,1,0,1,1,0,global_rbf
