dataset,model_id,target,mae,pearson_r,r2,bland_bias,loa_low,loa_high,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,f1,sens,spec,ppv,npv,adj_or,adj_or_ci_low,adj_or_ci_high,pval_logistic,fisher_pval,mask,mse_on,corr_on,deriv_on,vcg_on,energy_on,lead_on,mmd_kernel,mmd_name
ptb_xl,f_1000112_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1000112,1,0,0,0,1,1,2,anatomical_laplacian
ptb_xl,f_1000112_s42,LVH_SokolowLyon,0.4894,0.3281,0.1077,-0.3726,-1.4031,0.658,0.6199,0.4347,0.8072,0.0056,0.002,0.0178,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1000112,1,0,0,0,1,1,2,anatomical_laplacian
ptb_xl,f_1000113_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1000113,1,0,0,0,1,1,3,anatomical_imq
ptb_xl,f_1000113_s42,LVH_SokolowLyon,0.4884,0.328,0.1076,-0.3699,-1.4017,0.6619,0.6163,0.4333,0.8053,0.0056,0.0019,0.018,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1000113,1,0,0,0,1,1,3,anatomical_imq
ptb_xl,f_1000114_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1000114,1,0,0,0,1,1,4,temporal_kmeans_imq
ptb_xl,f_1000114_s42,LVH_SokolowLyon,0.4894,0.3279,0.1075,-0.3716,-1.4035,0.6603,0.6165,0.4336,0.8055,0.0056,0.0019,0.018,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1000114,1,0,0,0,1,1,4,temporal_kmeans_imq
ptb_xl,f_1001000_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1001000,1,0,0,1,0,0,0,none
ptb_xl,f_1001000_s42,LVH_SokolowLyon,0.5207,0.4417,0.1951,-0.4262,-1.4223,0.5699,0.7803,0.6219,0.9213,0.0275,0.0036,0.1323,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1001000,1,0,0,1,0,0,0,none
ptb_xl,f_1001001_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1001001,1,0,0,1,0,0,1,global_rbf
ptb_xl,f_1001001_s42,LVH_SokolowLyon,0.4968,0.441,0.1945,-0.3325,-1.3832,0.7181,0.7948,0.6755,0.906,0.0242,0.0035,0.1028,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1001001,1,0,0,1,0,0,1,global_rbf
ptb_xl,f_1001002_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1001002,1,0,0,1,0,0,2,anatomical_laplacian
ptb_xl,f_1001002_s42,LVH_SokolowLyon,0.5412,0.4641,0.2154,-0.4659,-1.4397,0.508,0.7765,0.6398,0.9054,0.0438,0.0032,0.2132,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1001002,1,0,0,1,0,0,2,anatomical_laplacian
ptb_xl,f_1001003_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1001003,1,0,0,1,0,0,3,anatomical_imq
ptb_xl,f_1001003_s42,LVH_SokolowLyon,0.5342,0.4491,0.2017,-0.4472,-1.4389,0.5445,0.7907,0.6386,0.9255,0.0294,0.0038,0.1442,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1001003,1,0,0,1,0,0,3,anatomical_imq
ptb_xl,f_1001004_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1001004,1,0,0,1,0,0,4,temporal_kmeans_imq
ptb_xl,f_1001004_s42,LVH_SokolowLyon,0.5429,0.4394,0.1931,-0.4467,-1.4586,0.5653,0.7793,0.6098,0.9277,0.0378,0.0036,0.1749,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1001004,1,0,0,1,0,0,4,temporal_kmeans_imq
ptb_xl,f_1001010_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1001010,1,0,0,1,0,1,0,none
ptb_xl,f_1001010_s42,LVH_SokolowLyon,0.47,0.4335,0.1879,-0.3248,-1.3466,0.697,0.635,0.3973,0.847,0.0128,0.0021,0.0659,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1001010,1,0,0,1,0,1,0,none
ptb_xl,f_1001011_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1001011,1,0,0,1,0,1,1,global_rbf
ptb_xl,f_1001011_s42,LVH_SokolowLyon,0.4273,0.4428,0.196,-0.2216,-1.2382,0.7951,0.7129,0.5173,0.8864,0.0178,0.0027,0.1027,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1001011,1,0,0,1,0,1,1,global_rbf
ptb_xl,f_1001012_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1001012,1,0,0,1,0,1,2,anatomical_laplacian
ptb_xl,f_1001012_s42,LVH_SokolowLyon,0.524,0.4417,0.1951,-0.4357,-1.4276,0.5562,0.6333,0.3479,0.8783,0.0185,0.0023,0.0997,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1001012,1,0,0,1,0,1,2,anatomical_laplacian
ptb_xl,f_1001013_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1001013,1,0,0,1,0,1,3,anatomical_imq
ptb_xl,f_1001013_s42,LVH_SokolowLyon,0.4923,0.4314,0.1861,-0.3621,-1.3885,0.6642,0.6434,0.4127,0.8521,0.0156,0.0021,0.087,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1001013,1,0,0,1,0,1,3,anatomical_imq
ptb_xl,f_1001014_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1001014,1,0,0,1,0,1,4,temporal_kmeans_imq
ptb_xl,f_1001014_s42,LVH_SokolowLyon,0.4916,0.4349,0.1891,-0.3521,-1.3857,0.6815,0.6468,0.4036,0.8598,0.0144,0.0022,0.0752,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1001014,1,0,0,1,0,1,4,temporal_kmeans_imq
ptb_xl,f_1001100_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1001100,1,0,0,1,1,0,0,none
ptb_xl,f_1001100_s42,LVH_SokolowLyon,0.4903,0.3001,0.0901,-0.3678,-1.4205,0.6849,0.581,0.4565,0.7296,0.0046,0.0018,0.0136,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1001100,1,0,0,1,1,0,0,none
ptb_xl,f_1001101_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1001101,1,0,0,1,1,0,1,global_rbf
ptb_xl,f_1001101_s42,LVH_SokolowLyon,0.4936,0.3067,0.094,-0.3698,-1.4231,0.6835,0.5939,0.462,0.736,0.0045,0.0019,0.0109,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1001101,1,0,0,1,1,0,1,global_rbf
ptb_xl,f_1001102_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1001102,1,0,0,1,1,0,2,anatomical_laplacian
ptb_xl,f_1001102_s42,LVH_SokolowLyon,0.4917,0.301,0.0906,-0.3706,-1.4226,0.6813,0.5842,0.4602,0.7321,0.0047,0.0018,0.014,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1001102,1,0,0,1,1,0,2,anatomical_laplacian
ptb_xl,f_1001103_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1001103,1,0,0,1,1,0,3,anatomical_imq
ptb_xl,f_1001103_s42,LVH_SokolowLyon,0.4908,0.3002,0.0901,-0.3687,-1.4214,0.6839,0.5807,0.456,0.7296,0.0046,0.0018,0.0138,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1001103,1,0,0,1,1,0,3,anatomical_imq
ptb_xl,f_1001104_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1001104,1,0,0,1,1,0,4,temporal_kmeans_imq
ptb_xl,f_1001104_s42,LVH_SokolowLyon,0.4922,0.3002,0.0901,-0.3712,-1.4238,0.6814,0.5827,0.4589,0.7306,0.0047,0.0018,0.014,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1001104,1,0,0,1,1,0,4,temporal_kmeans_imq
ptb_xl,f_1001110_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1001110,1,0,0,1,1,1,0,none
ptb_xl,f_1001110_s42,LVH_SokolowLyon,0.472,0.2416,0.0584,-0.3064,-1.3999,0.787,0.5326,0.3893,0.6684,0.0038,0.0016,0.0081,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1001110,1,0,0,1,1,1,0,none
ptb_xl,f_1001111_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1001111,1,0,0,1,1,1,1,global_rbf
ptb_xl,f_1001111_s42,LVH_SokolowLyon,0.4732,0.2589,0.067,-0.3095,-1.3965,0.7775,0.556,0.4196,0.6896,0.004,0.0018,0.0084,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1001111,1,0,0,1,1,1,1,global_rbf
ptb_xl,f_1001112_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1001112,1,0,0,1,1,1,2,anatomical_laplacian
ptb_xl,f_1001112_s42,LVH_SokolowLyon,0.472,0.25,0.0625,-0.304,-1.3966,0.7887,0.5406,0.3991,0.6764,0.0039,0.0017,0.0081,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1001112,1,0,0,1,1,1,2,anatomical_laplacian
ptb_xl,f_1001113_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1001113,1,0,0,1,1,1,3,anatomical_imq
ptb_xl,f_1001113_s42,LVH_SokolowLyon,0.4718,0.2414,0.0583,-0.3058,-1.3995,0.7879,0.5319,0.3891,0.6693,0.0038,0.0016,0.0081,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1001113,1,0,0,1,1,1,3,anatomical_imq
ptb_xl,f_1001114_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1001114,1,0,0,1,1,1,4,temporal_kmeans_imq
ptb_xl,f_1001114_s42,LVH_SokolowLyon,0.472,0.2417,0.0584,-0.3062,-1.3999,0.7875,0.5327,0.3901,0.669,0.0038,0.0016,0.0082,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1001114,1,0,0,1,1,1,4,temporal_kmeans_imq
ptb_xl,f_1010000_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1010000,1,0,1,0,0,0,0,none
ptb_xl,f_1010000_s42,LVH_SokolowLyon,0.6136,0.4128,0.1704,-0.5907,-1.5453,0.3638,0.54,0.3186,0.7963,0.0317,0.0016,0.2146,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1010000,1,0,1,0,0,0,0,none
ptb_xl,f_1010001_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1010001,1,0,1,0,0,0,1,global_rbf
ptb_xl,f_1010001_s42,LVH_SokolowLyon,0.3525,0.4176,0.1744,-0.1293,-1.0886,0.83,0.5762,0.3209,0.8327,0.0172,0.0021,0.1093,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1010001,1,0,1,0,0,0,1,global_rbf
ptb_xl,f_1010002_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1010002,1,0,1,0,0,0,2,anatomical_laplacian
ptb_xl,f_1010002_s42,LVH_SokolowLyon,0.3821,0.3226,0.1041,-0.1659,-1.1897,0.8579,0.4847,0.1872,0.7915,0.0093,0.0019,0.0431,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1010002,1,0,1,0,0,0,2,anatomical_laplacian
ptb_xl,f_1010003_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1010003,1,0,1,0,0,0,3,anatomical_imq
ptb_xl,f_1010003_s42,LVH_SokolowLyon,0.5714,0.391,0.1528,-0.5399,-1.5085,0.4287,0.5487,0.3055,0.81,0.038,0.0016,0.2511,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1010003,1,0,1,0,0,0,3,anatomical_imq
ptb_xl,f_1010004_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1010004,1,0,1,0,0,0,4,temporal_kmeans_imq
ptb_xl,f_1010004_s42,LVH_SokolowLyon,0.4739,0.395,0.156,-0.4126,-1.3893,0.5641,0.5226,0.2535,0.8068,0.0175,0.0017,0.1032,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1010004,1,0,1,0,0,0,4,temporal_kmeans_imq
ptb_xl,f_1010010_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1010010,1,0,1,0,0,1,0,none
ptb_xl,f_1010010_s42,LVH_SokolowLyon,0.5695,0.3911,0.1529,-0.5406,-1.5017,0.4205,0.5441,0.277,0.8081,0.0135,0.002,0.0805,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1010010,1,0,1,0,0,1,0,none
ptb_xl,f_1010011_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1010011,1,0,1,0,0,1,1,global_rbf
ptb_xl,f_1010011_s42,LVH_SokolowLyon,0.4897,0.3174,0.1008,-0.3896,-1.441,0.6617,0.482,0.1657,0.7953,0.023,0.0016,0.1174,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1010011,1,0,1,0,0,1,1,global_rbf
