model_id,clean_name,category,val_pearson,val_p05,val_recon_loss,boundary_f1,boundary_ppv,boundary_sens,macro_f1_wave,miou_wave,P_iou,QRS_iou,T_iou,train_recon,train_ssl,train_total
mask_fixed_wave_1110000_s42_l0,mask_fixed_wave,Other,0.7144686898879581,0.3712092310190201,0.9213528788608053,0.7474379522265502,0.6851635720601238,0.8221643013003915,0.8412482142448425,0.7319321036338806,0.6197279691696167,0.8671311140060425,0.7089371681213379,1.7097302021565899,0.13711133128718325,2.056151412254156
ssl_both_infer_b_1110000_s42_l0,ssl_both_infer_b,Wavelet SSL / Contrastive,0.7075542282156111,0.36799072921276094,0.9339338160943293,0.6855744989958552,0.6029775342730516,0.7943917301183685,0.7780914306640625,0.654217541217804,0.448373407125473,0.863929033279419,0.6503502130508423,1.7142978562281503,0.0003332708719456648,2.0676229169348317
ssl_both_infer_mean_1110000_s42_l0,ssl_both_infer_mean,Wavelet SSL / Contrastive,0.7144938945178108,0.36594572365283967,0.9234877556994341,0.7252186187913914,0.6527453932177298,0.8157949646521268,0.8146970868110657,0.6986569762229919,0.528262734413147,0.8671282529830933,0.700579822063446,1.7073838198637292,0.018456909326765792,2.0542918159153354
ssl_global_1110000_s42_l0,ssl_global,Wavelet SSL / Contrastive,0.7146137441281081,0.36732074320316316,0.9227334805156874,0.7406111459184239,0.6714553601730258,0.8256478085733181,0.8415564894676208,0.7324557304382324,0.6169288754463196,0.8664107322692871,0.7140277624130249,1.7100797472852243,0.0005507774860797635,2.0505357432102778
ssl_log_magnitude_phase_sin_both_cross_attn_1110000_s42_l0,ssl_log_magnitude_phase_sin_both_cross_attn,Wavelet SSL / Contrastive,0.7092619322033866,0.37331654727458957,0.9330856696419094,0.6866862921774238,0.59747657190723,0.8072117441938599,0.7859892249107361,0.6634690165519714,0.4651441276073456,0.8647633194923401,0.6604995131492615,1.713542057659518,0.0002717612131135116,2.0647926915669528
ssl_log_magnitude_phase_sin_both_gated_add_1110000_s42_l0,ssl_log_magnitude_phase_sin_both_gated_add,Wavelet SSL / Contrastive,0.7149802360792895,0.3764189302921295,0.920752133148304,0.742560730360392,0.6766614598332068,0.8226806384190182,0.8399273753166199,0.7300612330436707,0.6176304221153259,0.8666856288909912,0.7058675289154053,1.7100819229641917,0.15880803517641606,2.057532403139327
ssl_log_magnitude_phase_sin_local_cross_attn_1110000_s42_l0,ssl_log_magnitude_phase_sin_local_cross_attn,Wavelet SSL / Contrastive,0.7083656971688002,0.3670604765415192,0.9326818930929985,0.6843400808251948,0.5963493639759777,0.8027910496850698,0.7835156917572021,0.6603891849517822,0.46171948313713074,0.8646978735923767,0.6547502875328064,1.7126684260339164,0.00452047163299131,2.0646833182840334
ssl_log_magnitude_phase_sin_local_gated_add_1110000_s42_l0,ssl_log_magnitude_phase_sin_local_gated_add,Wavelet SSL / Contrastive,0.7152293072834243,0.37305693924427036,0.9199182745339214,0.7513057091893696,0.6874638563942992,0.8282188844996304,0.8448565602302551,0.7371214032173157,0.6221914887428284,0.8666926026344299,0.722480058670044,1.7085607135018637,0.04516124747228447,2.049871104145867
ssl_log_magnitude_real_both_cross_attn_1110000_s42_l0,ssl_log_magnitude_real_both_cross_attn,Wavelet SSL / Contrastive,0.7080691191852024,0.3673326939344406,0.9353410221528315,0.6840420874658455,0.5967434791884509,0.8012597211072249,0.7835765480995178,0.6604610681533813,0.46317681670188904,0.8664270043373108,0.6517794132232666,1.7136512475323065,0.03407141606402076,2.067196762401296
ssl_log_magnitude_real_both_gated_add_1110000_s42_l0,ssl_log_magnitude_real_both_gated_add,Wavelet SSL / Contrastive,0.7153801039540462,0.3765253245830536,0.9197020997171816,0.7517588843326837,0.6884088015361227,0.827950106273496,0.8486917018890381,0.742088794708252,0.6421955227851868,0.8673011660575867,0.7167696952819824,1.7085796474972728,0.06069498510080568,2.0502629481447516
