model_id,ecgfounder_macro_150_auroc,infarct_macro_auroc,conduction_macro_auroc,arrhythmia_macro_auroc,hypertrophy_macro_auroc,afib_auroc,lbbb_auroc,anterior_mi_auroc,lvh_auroc,qrs_duration_error_ms,sokolow_lyon_mae_mv,missing_lead_pearson_r,missing_lead_mae_mv,v3_r_presacan_r2,v3_r_presacan_slope,v3_r_var_ret_pct,v6_r_presacan_r2,v6_r_presacan_slope,v6_r_var_ret_pct,interlead_r2_real_I_V3,interlead_r2_recon_I_V3,spurious_coupling_ratio_v3,avg_precordial_var_ret_pct,mask
f_1000100_s42,0.7657534817565924,0.667144309160557,0.7334734720302276,0.9495725962976553,0.6923472739259112,0.971156814323198,0.954950465144376,0.4552011095700416,0.7005304889724442,17.88697918980208,0.9406329845975804,0.3628634664029854,0.1383205154310715,0.9223479531127117,-1.053549201585614,9.63150336080332,0.9862018956537898,-0.9906626977828976,1.3818281508436128,0.02068129191863738,0.00012343848332788273,0.005968317428913617,30.174296267556006,1000100
f_1000101_s42,0.7664696412176439,0.6677196883445052,0.7314978920765836,0.9505251045524697,0.7017113649884298,0.9729542882132016,0.9551769964963152,0.45152896109900265,0.7003172489425036,18.726248373373917,0.9470215888571355,0.36716567901948954,0.13796498950608316,0.9246242496283172,-1.0484227410016247,9.195120410055537,0.9855840079452719,-0.9881598020468454,1.4422723814984135,0.02068129191863738,4.314952552274438e-05,0.0020863028958536824,31.614305367233456,1000101
f_1000102_s42,0.7655695721476325,0.6665299475850067,0.733092045932989,0.9496819618221065,0.6929729073142138,0.9711889694911766,0.9548220973782773,0.45522752790436566,0.7009025710655039,17.89190885929166,0.9382949860427243,0.3624257530049361,0.13833782673931483,0.9218944935559132,-1.0529730043746297,9.674275411022553,0.9862730453816655,-0.9906650396432324,1.3746512704894522,0.02068129191863738,8.735181607688116e-05,0.004223507550348714,30.15321045345482,1000102
f_1000103_s42,0.7657315543179505,0.6668962762172865,0.7334437454357954,0.9495354447682358,0.692701645799881,0.9711696763903895,0.9549429140993113,0.45525394623868964,0.7004129893641096,17.913777149530947,0.940213356208668,0.3627486715928853,0.13832826201690893,0.9224411601283856,-1.0535345411570536,9.618926888145662,0.9862128851623804,-0.9906315396151166,1.3806912294605438,0.02068129191863738,0.00011497478633112797,0.0055590931016461015,30.146421430665836,1000103
f_1000104_s42,0.7660239008471109,0.6677738752467024,0.7337529339021267,0.9496984188659482,0.6924480033220921,0.9711310901888152,0.95497311827957,0.45525394623868964,0.7007176179783106,17.8713433712025,0.9396029587954855,0.36323312391528867,0.13824910194377674,0.9222774453728761,-1.0537159812289585,9.645454118351795,0.9862242378316088,-0.990691907238582,1.3796001044261819,0.02068129191863738,0.00010606327311665213,0.005128216618056513,30.1935881880754,1000104
f_1000110_s42,0.7582470062924745,0.6487215370289098,0.7179574658959673,0.9492919892608289,0.7056095907933965,0.9768997273241754,0.9448849220732148,0.4393633181427911,0.7016630546416697,18.2483341699935,0.9432086105040063,0.37060723932863393,0.1383136305578401,0.9230480833172899,-1.0680498499144373,9.973026669101252,0.9823855719974421,-0.9903989267030819,1.7679793227240441,0.02068129191863738,2.9265988171419643e-06,0.00014150263561963971,30.86422672804011,1000110
f_1000111_s42,0.7600537897574823,0.6571934710120015,0.7133803007783396,0.9500499341174613,0.7075418432736922,0.9769929773113136,0.9467047239337925,0.4459282742223103,0.7011027555834073,18.907021632337845,0.9432241965631857,0.3757234613014893,0.1380927581030152,0.9230861663893775,-1.0708113861125164,10.055489913282518,0.982035613876543,-0.9889554657199052,1.8013146421817643,0.02068129191863738,2.9727971774454883e-05,0.0014373635132606457,32.602348505363196,1000111
f_1000112_s42,0.7579696690635214,0.6477256266475209,0.717522826148933,0.9491566314556272,0.7064125846447921,0.9769672531769306,0.9443185936933671,0.4369328313849812,0.7020797430675232,18.36093830053713,0.9443463971158421,0.37043315389855747,0.13833417927551744,0.9222552803990017,-1.0680994736370673,10.08083215703576,0.982326136113056,-0.9904136870659456,1.7740449186888045,0.02068129191863738,1.0039014019600956e-05,0.0004853917573107323,30.96348635616805,1000112
f_1000113_s42,0.7582616042761879,0.6487104584635491,0.7179668185641276,0.9493487430538701,0.7055355143200034,0.9768611411226011,0.9448320647577625,0.439204808136847,0.7019752989712256,18.177790507624106,0.9422464162207852,0.37062985234206614,0.13834972995547823,0.923023343396429,-1.0680395405442007,9.976015128510186,0.9824206615029928,-0.9903949568627765,1.7644065745706927,0.02068129191863738,4.922940486404734e-06,0.00023802683502250238,30.8768083109084,1000113
f_1000114_s42,0.7584682901694386,0.6492552802188634,0.7181600241242554,0.9493815724876347,0.7055995746532878,0.9768386325050162,0.9447339011719221,0.4396142923188693,0.7020840949048688,18.169304844710688,0.9421636439696285,0.3706228303127277,0.1382793785298334,0.9232106021775236,-1.0680238765228638,9.950456636273803,0.9824300268093619,-0.9904191300092204,1.7634940433287976,0.02068129191863738,4.079173284856253e-06,0.00019723023448771641,30.89632014185778,1000114
f_1001000_s42,0.8328253047460227,0.7514627652430128,0.8170972727520996,0.9557598116705108,0.7845103054898593,0.9816651232186037,0.9812129998791832,0.5184201836074236,0.7634819920970634,15.042153416962437,0.5487169971825528,0.5705197744852153,0.14419361399518218,0.9542976933936392,-0.9387254281214006,4.595641541054954,0.9386328934167542,-0.9638742457981271,6.204588725938552,0.02068129191863738,0.07511680070723059,3.631937940085875,32.2340468852068,1001000
f_1001001_s42,0.8189231211326308,0.7263187296376034,0.8023951717524282,0.955613085073237,0.7721778743664885,0.9809319853886918,0.9798915669928718,0.451912026946701,0.7200898219228158,19.94821418485314,0.6276209166894677,0.5074278676920161,0.12675005465377412,0.9495710538623032,-0.9978060745478672,5.287912320562021,0.9224758595107533,-0.9620205079791008,7.921933847883294,0.02068129191863738,0.14461021961273837,6.9919823287295415,34.629196226100426,1001001
f_1001002_s42,0.829649820757082,0.7386699294116992,0.8157353302930899,0.9578425292129886,0.7840437748234602,0.9800316406852909,0.9811525915186662,0.4497193051978073,0.758810294706425,19.313996021708576,0.6074447736026117,0.541554682213737,0.13154364952397704,0.9407053640816906,-0.9597664288502155,5.968086119561951,0.9120928472191837,-0.9518350476979922,8.963882133157087,0.02068129191863738,0.0973782820474093,4.708292602700335,35.566952009480794,1001002
f_1001003_s42,0.833583171855039,0.7524899453980108,0.815686424529263,0.9565481914239129,0.7886405923366788,0.981337140505222,0.981364020780476,0.5175747969090548,0.7623744494925756,16.033337545503162,0.5538530485861296,0.5685916162064664,0.14397443623149145,0.9536590359177421,-0.9393713192925043,4.655502260702829,0.9357848952156532,-0.9627125961459758,6.498996349504055,0.02068129191863738,0.07652423595664493,3.6999881955871072,33.062937510338024,1001003
f_1001004_s42,0.8340087132225968,0.7549169935669587,0.8156640743555686,0.9555890958577784,0.791106500932985,0.980652235427278,0.9812432040594419,0.522752790436563,0.7582423799328076,16.24441161767303,0.5402525040673496,0.5640209388957644,0.14078618842046386,0.9469153336581719,-0.9428170359507556,5.310240398267228,0.9353522380332566,-0.9628614233780876,6.5456821107851475,0.02068129191863738,0.08177085881736289,3.953665248466826,34.320398176281635,1001004
f_1001010_s42,0.8312152286859524,0.7291573060316218,0.8267482463868907,0.9530698315606575,0.7943497139342597,0.9807390543808202,0.9808203455358221,0.4861501882306321,0.7361785645899699,13.920911851652203,0.5228796218544037,0.5665754374915147,0.1498250807777966,0.9894087430638815,-0.998392970110415,1.0672837310446917,0.9624142181197018,-0.980012550350937,3.790757814171074,0.02068129191863738,0.07792849493667153,3.7678848767456006,27.60885085195442,1001010
f_1001011_s42,0.8231215468351303,0.7029799627663837,0.8156756921443628,0.9506135837126166,0.807405827135383,0.9790026753099759,0.9801332004349401,0.45155537943332674,0.7084181941615749,16.29459608135917,0.5667730679807449,0.548188478487667,0.12939200271538012,0.962667454915601,-1.0264393293368852,4.155711084325855,0.9632381637991908,-0.9861408271866637,3.7306386873688835,0.02068129191863738,0.05463204200276899,2.6414887778244034,31.48253295377936,1001011
f_1001012_s42,0.824445643100479,0.7213850408356245,0.815620411399181,0.953119072740679,0.7849001854097248,0.9801088130884396,0.9810997342032137,0.44875503599498046,0.7342332932964297,13.894845576242552,0.541837459917616,0.5650188935689608,0.1345112999215483,0.9555803891148648,-1.0000945173575462,4.649322775272427,0.9424056428762826,-0.9632293608716492,5.805448513168108,0.02068129191863738,0.1343223434929584,6.494557954281501,31.93933989755052,1001012
f_1001013_s42,0.8308822678037209,0.7305932693619528,0.8236858165204958,0.9534047693646679,0.7922669383146467,0.9798547872614086,0.9807674882203697,0.48588600488739186,0.7365528226017024,13.81256722204251,0.5268473415028059,0.5640019610209407,0.1496135936538942,0.9888725621395092,-0.9982394915195232,1.1216164526969183,0.9642058649998819,-0.978793878968103,3.6014845285402575,0.02068129191863738,0.08090587261581195,3.911842697805916,27.959303961630614,1001013
f_1001014_s42,0.828195696374571,0.722306219052984,0.8219777935660582,0.9530180352947513,0.7930086246714607,0.9794464166280804,0.9809185091216623,0.478436034608018,0.7240238828833533,13.971202740715473,0.5309683861390839,0.5570814529109511,0.14689373191211877,0.987500401254443,-0.9993676647435823,1.264221331314913,0.9584105286075412,-0.9776671988031105,4.197638215350775,0.02068129191863738,0.09598951485522943,4.641144957862752,28.949698248711456,1001014
f_1001100_s42,0.8019534728857253,0.7386272192523969,0.7639443951781169,0.9543246095455118,0.7361597768144236,0.9774527962134075,0.9625694696145947,0.5564229575325276,0.6960089299702333,17.95402563497121,0.9202969587864447,0.3863443410807877,0.13331278789870668,0.9166957098409583,-1.0385379571616318,9.949890421993656,0.9770202211110428,-0.9884389788795709,2.31132336795121,0.02068129191863738,0.0002836344026982485,0.013713876770236368,28.991372963446334,1001100
f_1001101_s42,0.8002799334497971,0.73334256299106,0.7622196830603796,0.9527343362973386,0.7389920264895008,0.9769929773113134,0.9576008819620636,0.5476520705369526,0.6966530018974011,18.354696290646856,0.9006387719523166,0.3826434442999613,0.1341584275989889,0.9179784374451858,-1.0411591034731495,9.855079228849107,0.9777671611219048,-0.9871413270506307,2.2322711999583933,0.02068129191863738,0.0004866953628544101,0.02353198401652167,29.429789423495933,1001101
f_1001102_s42,0.801399433412612,0.738222105379301,0.7628310018017352,0.9542951556084605,0.7358047847645263,0.9773788393270567,0.9624713060287545,0.555630407502807,0.6960263373196163,18.026336146094447,0.921501947067762,0.38560113091378617,0.13341497736753988,0.9162706469807957,-1.0384164542095242,10.001231294236602,0.9770820865408378,-0.9886163880134939,2.305407408711182,0.02068129191863738,0.00028991595954802314,0.014017593441216829,29.122065645325574,1001102
f_1001103_s42,0.8020578203484948,0.7388402085587336,0.76410109616355,0.9543123497671011,0.7361694689446345,0.9774720893141946,0.9626374290201763,0.5569513242190081,0.6961133740665308,17.922211929566906,0.9211919525718042,0.3864774406256937,0.13331183334056682,0.9167169735286899,-1.0383609172338717,9.942459411698213,0.9770324327146205,-0.9884636416108415,2.31013116038419,0.02068129191863738,0.00029187213274419204,0.014112175473221035,29.001555972957508,1001103
f_1001104_s42,0.801884329396907,0.7386026944109876,0.7637940053241836,0.9543107938664683,0.7361002648607937,0.9774399341462159,0.9626298779751117,0.5561719833564494,0.6961677720333524,17.961058113838966,0.9212921479106234,0.38647113703089286,0.13328215802958066,0.9167062109356342,-1.038382228897171,9.944405964218356,0.9770170325109151,-0.9884674571351448,2.3117163945965107,0.02068129191863738,0.0002780577799652719,0.013444244045057039,28.991911487427917,1001104
f_1001110_s42,0.794538033396091,0.7260624574109708,0.7499997079947367,0.9475241245228174,0.7455527838689097,0.9715909090909091,0.9544671982602392,0.555564361666997,0.7116015631799746,18.176367691532757,0.8739130602956049,0.41816996580272975,0.13118452390812696,0.9189966574635708,-1.0528184156407185,10.049009781043653,0.9719946388541398,-0.9891874011900196,2.830946886921776,0.02068129191863738,0.0004048877180989924,0.019576540148054725,29.851757637450905,1001110
f_1001111_s42,0.7927557245724818,0.7236772265697328,0.7500260469191351,0.947289744049028,0.7414901509919599,0.9719478314554715,0.9497251419596472,0.5450762829403606,0.7110510557557401,18.234447842926745,0.8536817007953089,0.41607669292877625,0.13190904782747218,0.9183565918985241,-1.052559638198188,10.125502497774441,0.972330833791364,-0.9884883581633958,2.7937660824624975,0.02068129191863738,0.0010542904642492977,0.050975514144989305,30.570819139487313,1001111
f_1001112_s42,0.7929183177997592,0.7224167203604933,0.7501285445441177,0.9471944554557772,0.7428950736337194,0.9718417194011422,0.9501857557085901,0.5475992338683047,0.7123304959353839,18.39282370504251,0.8689601631947488,0.4178061295275695,0.131569148656535,0.9184858860555337,-1.053108006218808,10.124562589516726,0.9729505277284063,-0.9888686111397323,2.7309902141632167,0.02068129191863738,0.0009434857766162403,0.04561804757073559,30.190243569155413,1001112
f_1001113_s42,0.7945523657356861,0.7261517607060439,0.749994755058135,0.9475185874966763,0.7455774208720757,0.971594124607707,0.9544596472151745,0.555808731259494,0.7116494333907775,18.193099183648346,0.8738012812721696,0.418147105530261,0.13119252316928545,0.9189869597386596,-1.0528526229427853,10.051279006211706,0.9719829543866889,-0.989181573187244,2.8321364209961364,0.02068129191863738,0.0003916207449787919,0.0189350748224326,29.861434790688232,1001113
f_1001114_s42,0.7944830846255944,0.7260728135736666,0.7499128763260229,0.94753778545372,0.7454385562093603,0.9716294952924834,0.9543992388546575,0.5552869691565946,0.7116537852281233,18.170510721846426,0.8734428808367394,0.4181368803004592,0.13117515226219892,0.9190215682762649,-1.0528911414742308,10.047858628683125,0.9719877587779537,-0.9891940821460933,2.8316831029043477,0.02068129191863738,0.0003934215095314896,0.019022142762474343,29.873098808282375,1001114
f_1010000_s42,0.8465526403732186,0.7739783617188271,0.8305810594055696,0.9538762240363008,0.8052797773634651,0.9827937696146525,0.9813262655551529,0.5398058252427185,0.7428303479729141,16.4032878514496,0.7741064640868539,0.5680934128351909,0.12707387540670867,0.9790420741057329,-0.9512804940492283,2.1745129373685943,0.9734961742994711,-0.9806425729641945,2.6556287143340422,0.02068129191863738,0.012170627775678691,0.5884564352711512,23.81965212362525,1010000
f_1010001_s42,0.8038097328876707,0.6834380625287352,0.7824030499831763,0.9488300444289564,0.7883823438398571,0.9768707876729947,0.9796121783254802,0.36671289875173374,0.715938169094992,15.035532067061235,0.5905063200027866,0.5270204935301779,0.12897270671170197,0.9620712502587027,-0.9867641467907233,3.856252726970472,0.9301808329655917,-0.9702074961192809,7.154155660258639,0.02068129191863738,0.07525452072230883,3.638596777298889,28.92717437007019,1010001
f_1010002_s42,0.8151471513486022,0.7052685212936675,0.8037468118229139,0.9478924431422484,0.7928860472649921,0.9756360292226166,0.9819605533405823,0.40726504193910573,0.7327797796229568,14.752559067562926,0.5875433478057558,0.5418996389306269,0.1321221580301962,0.9598852691979806,-0.9719167969410362,4.026553805417421,0.9473408304188378,-0.9729455900849661,5.33512158822497,0.02068129191863738,0.027987087554222443,1.3531908196790565,26.042607496972394,1010002
