dataset,evaluation_type,ground_truth_status,model_id,family,factorial_mask,device,task_name,source_parquet,task_index,n,reference_mean_probability,reconstructed_mean_probability,probability_mae,probability_rmse,probability_pearson,bernoulli_kl_reference_to_reconstruction,jensen_shannon_divergence,threshold,threshold_agreement,reference_positive_rate,reconstructed_positive_rate
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,NORMAL ECG,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,2,180,0.2405643821771567,0.08191392891522911,0.16315622739752547,0.30710922704824994,0.7230760017139589,0.29006180456436986,0.06324440650532404,0.5,0.8388888888888889,0.19444444444444445,0.03333333333333333
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,SINUS RHYTHM,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,3,180,0.7907271130217446,0.8182915411061711,0.058817099862628515,0.11880281125189021,0.912491811138673,0.03988744919484111,0.008488028292276828,0.5,0.8611111111111112,0.7388888888888889,0.8333333333333334
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,SINUS BRADYCARDIA,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,4,180,0.2245953857458921,0.2298510665138666,0.04708505618618801,0.07698192686231016,0.9594513844813519,0.017610982696421647,0.004396392227518204,0.5,0.9333333333333333,0.13333333333333333,0.15555555555555556
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,ATRIAL FIBRILLATION,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,5,180,0.16295861474548776,0.15474989286934335,0.060876344827314216,0.0933959500074389,0.7960537402071866,0.029506397539164148,0.006754155744646075,0.5,0.9555555555555556,0.016666666666666666,0.03888888888888889
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,SINUS TACHYCARDIA,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,6,180,0.3259315502648759,0.28316718120283135,0.061393608333956864,0.1239621638421024,0.9533065774773439,0.047430726185166264,0.01208315747316077,0.5,0.9611111111111111,0.3111111111111111,0.2722222222222222
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,otherwise normal ecg,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,7,180,0.1967817950916166,0.06273906134495823,0.14541207505842774,0.2584971751238251,0.7155321581359795,0.2675935188224855,0.04884725666477802,0.5,0.8611111111111112,0.16666666666666666,0.027777777777777776
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,LEFT AXIS DEVIATION,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,8,180,0.011359861280329318,0.02300624959591207,0.014510473754166418,0.06188093171141047,0.8988082987320487,0.010957006545508196,0.0029941608889638106,0.5,1.0,0.0,0.0
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,PREMATURE VENTRICULAR COMPLEXES,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,9,180,0.12047354063640038,0.19756254193683465,0.08891223865664667,0.14771782810478865,0.4357559183609451,0.06274398586802443,0.015066065340065831,0.5,0.9722222222222222,0.0,0.027777777777777776
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,BORDERLINE ECG,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,10,180,0.11844140438414696,0.20005984973783295,0.15280400603854408,0.22700586937401235,0.4859919317843933,0.14171826627020032,0.03443969844308055,0.5,0.8277777777777777,0.0,0.17222222222222222
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,RIGHT BUNDLE BRANCH BLOCK,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,11,180,0.09787761403972076,0.32904311447507806,0.2327420281815446,0.27250491800398297,0.46320517541760314,0.1993873941400617,0.05704596777790321,0.5,0.8777777777777778,0.0,0.12222222222222222
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,SEPTAL INFARCT,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,12,180,0.07747387868455714,0.34502237087322607,0.26754849218866894,0.3193722803482684,0.3954828281804819,0.2591691359119688,0.07050730595121128,0.5,0.7444444444444445,0.0,0.25555555555555554
