cohort,record_id,fs,condition,geometry,kernel,m_star,G_star,graph_density,n_similarity_edges,n_clique_groups,n_cc_groups,n_maximal_cliques,overlap_fraction,is_disconnected,elapsed_sec
EchoNext,1260,250.0,C3_kernel_only,discrete_m,relative_dmed,4,6,0.26666666666666666,4,3,3,2,0.0,0,5.339611053466797
EchoNext,1365,250.0,C3_kernel_only,discrete_m,relative_dmed,4,8,0.2857142857142857,8,4,3,3,0.25,0,5.9617908000946045
EchoNext,1470,250.0,C3_kernel_only,discrete_m,relative_dmed,4,8,0.4642857142857143,13,2,2,2,0.0,0,6.302460193634033
PTB-XL,9,500.0,C4_combined,ms_based,relative_dmed,16,6,0.5333333333333333,8,2,1,3,0.3333333333333333,0,9.810396671295166
PTB-XL,38,500.0,C4_combined,ms_based,relative_dmed,16,6,0.4,6,3,2,2,0.16666666666666666,0,9.194263935089111
PTB-XL,63,500.0,C4_combined,ms_based,relative_dmed,16,6,0.6,9,3,1,3,0.3333333333333333,0,9.143038511276245
PTB-XL,40,500.0,C4_combined,ms_based,relative_dmed,16,8,0.39285714285714285,11,4,2,4,0.5,0,10.480816125869751
PTB-XL,59,500.0,C4_combined,ms_based,relative_dmed,16,6,0.6,9,3,1,4,0.5,0,10.390047311782837
PTB-XL,65,500.0,C4_combined,ms_based,relative_dmed,32,8,0.4642857142857143,13,4,1,4,0.625,0,9.278817415237427
PTB-XL,75,500.0,C4_combined,ms_based,relative_dmed,64,8,0.6428571428571429,18,2,1,2,0.125,0,10.712872982025146
PTB-XL,76,500.0,C4_combined,ms_based,relative_dmed,64,8,0.8214285714285714,23,2,1,3,0.625,0,9.213420629501343
PTB-XL,79,500.0,C4_combined,ms_based,relative_dmed,64,8,0.6428571428571429,18,2,1,4,0.75,0,9.19885802268982
PTB-XL,57,500.0,C4_combined,ms_based,relative_dmed,16,4,0.5,3,2,2,1,0.0,0,18.275745391845703
PTB-XL,112,500.0,C4_combined,ms_based,relative_dmed,16,6,0.5333333333333333,8,3,2,2,0.3333333333333333,0,8.954400539398193
PTB-XL,100,500.0,C4_combined,ms_based,relative_dmed,32,6,1.0,15,1,1,1,0.0,0,10.185112953186035
EchoNext,10,250.0,C4_combined,ms_based,relative_dmed,8,6,1.0,15,1,1,1,0.0,0,5.757606506347656
EchoNext,42,250.0,C4_combined,ms_based,relative_dmed,8,8,0.42857142857142855,12,2,2,2,0.0,0,5.307251214981079
EchoNext,210,250.0,C4_combined,ms_based,relative_dmed,16,8,0.5357142857142857,15,2,1,3,0.5,0,5.857351064682007
PTB-XL,117,500.0,C4_combined,ms_based,relative_dmed,16,8,0.6428571428571429,18,3,1,3,0.625,0,9.266211986541748
PTB-XL,116,500.0,C4_combined,ms_based,relative_dmed,16,8,0.42857142857142855,12,4,2,3,0.125,0,11.701646089553833
EchoNext,105,250.0,C4_combined,ms_based,relative_dmed,16,6,0.7333333333333333,11,2,1,2,0.16666666666666666,0,9.069062232971191
PTB-XL,115,500.0,C4_combined,ms_based,relative_dmed,64,4,1.0,6,1,1,1,0.0,0,17.472817420959473
PTB-XL,93,500.0,C4_combined,ms_based,relative_dmed,32,4,1.0,6,1,1,1,0.0,0,20.28338646888733
EchoNext,315,250.0,C4_combined,ms_based,relative_dmed,32,8,0.6428571428571429,18,2,1,4,0.75,0,6.6120285987854
EchoNext,420,250.0,C4_combined,ms_based,relative_dmed,32,6,1.0,15,1,1,1,0.0,0,8.712542295455933
EchoNext,735,250.0,C4_combined,ms_based,relative_dmed,32,4,1.0,6,1,1,1,0.0,0,6.0545666217803955
EchoNext,525,250.0,C4_combined,ms_based,relative_dmed,32,4,1.0,6,1,1,1,0.0,0,6.6732494831085205
EchoNext,840,250.0,C4_combined,ms_based,relative_dmed,32,4,1.0,6,1,1,1,0.0,0,5.904728889465332
EchoNext,630,250.0,C4_combined,ms_based,relative_dmed,32,6,1.0,15,1,1,1,0.0,0,8.540596961975098
EchoNext,945,250.0,C4_combined,ms_based,relative_dmed,32,4,1.0,6,1,1,1,0.0,0,5.492252349853516
EchoNext,1365,250.0,C4_combined,ms_based,relative_dmed,8,8,0.42857142857142855,12,2,2,2,0.0,0,4.2702977657318115
EchoNext,1260,250.0,C4_combined,ms_based,relative_dmed,16,4,1.0,6,1,1,1,0.0,0,5.309260845184326
EchoNext,1155,250.0,C4_combined,ms_based,relative_dmed,16,6,0.6666666666666666,10,2,2,1,0.0,0,7.88971471786499
EchoNext,1050,250.0,C4_combined,ms_based,relative_dmed,32,6,1.0,15,1,1,1,0.0,0,7.909552812576294
EchoNext,1470,250.0,C4_combined,ms_based,relative_dmed,32,6,0.6666666666666666,10,2,2,1,0.0,0,6.429339170455933
